source_bucket,official_status,competition_folder,file_name,file_stem,file_path,match_id,date_start,date_end,date_count,team1,team2,teams_raw,event_name,match_type,gender,venue,city,balls_per_over,player_of_match,winner,result,by_runs,by_wickets,method,eliminator,toss_winner,toss_decision
international,official,t20Internationals_official,211048.json,211048,data/raw/Cricsheet/International/t20Internationals_official/211048.json,211048,2005-02-17,2005-02-17,1,New Zealand,Australia,New Zealand | Australia,,T20,male,Eden Park,Auckland,6,RT Ponting,Australia,,44.0,,,,Australia,bat
international,official,t20Internationals_official,211028.json,211028,data/raw/Cricsheet/International/t20Internationals_official/211028.json,211028,2005-06-13,2005-06-13,1,England,Australia,England | Australia,,T20,male,The Rose Bowl,Southampton,6,KP Pietersen,England,,100.0,,,,England,bat
international,official,t20Internationals_official,222678.json,222678,data/raw/Cricsheet/International/t20Internationals_official/222678.json,222678,2005-10-21,2005-10-21,1,South Africa,New Zealand,South Africa | New Zealand,,T20,male,New Wanderers Stadium,Johannesburg,6,JS Patel,New Zealand,,,5.0,,,New Zealand,field
international,official,t20Internationals_official,226374.json,226374,data/raw/Cricsheet/International/t20Internationals_official/226374.json,226374,2006-01-09,2006-01-09,1,Australia,South Africa,Australia | South Africa,,T20,male,"Brisbane Cricket Ground, Woolloongabba",Brisbane,6,DR Martyn,Australia,,95.0,,,,Australia,bat
international,official,t20Internationals_official,237242.json,237242,data/raw/Cricsheet/International/t20Internationals_official/237242.json,237242,2006-02-16,2006-02-16,1,New Zealand,West Indies,New Zealand | West Indies,,T20,male,Eden Park,Auckland,6,DR Smith,,tie,,,,,New Zealand,field
international,official,t20Internationals_official,238195.json,238195,data/raw/Cricsheet/International/t20Internationals_official/238195.json,238195,2006-02-24,2006-02-24,1,South Africa,Australia,South Africa | Australia,,T20,male,New Wanderers Stadium,Johannesburg,6,GC Smith,South Africa,,2.0,,,,South Africa,bat
international,official,t20Internationals_official,225271.json,225271,data/raw/Cricsheet/International/t20Internationals_official/225271.json,225271,2006-06-15,2006-06-15,1,England,Sri Lanka,England | Sri Lanka,,T20,male,The Rose Bowl,Southampton,6,ST Jayasuriya,Sri Lanka,,2.0,,,,Sri Lanka,bat
international,official,t20Internationals_official,225263.json,225263,data/raw/Cricsheet/International/t20Internationals_official/225263.json,225263,2006-08-28,2006-08-28,1,England,Pakistan,England | Pakistan,,T20,male,County Ground,Bristol,6,Shahid Afridi,Pakistan,,,5.0,,,England,bat
international,official,t20Internationals_official,255954.json,255954,data/raw/Cricsheet/International/t20Internationals_official/255954.json,255954,2006-12-01,2006-12-01,1,South Africa,India,South Africa | India,,T20,male,New Wanderers Stadium,Johannesburg,6,KD Karthik,India,,,6.0,,,South Africa,bat
international,official,t20Internationals_official,251487.json,251487,data/raw/Cricsheet/International/t20Internationals_official/251487.json,251487,2006-12-22,2006-12-22,1,New Zealand,Sri Lanka,New Zealand | Sri Lanka,Sri Lanka in New Zealand T20I Series,T20,male,Westpac Stadium,Wellington,6,ST Jayasuriya,Sri Lanka,,18.0,,D/L,,New Zealand,bat
international,official,t20Internationals_official,251488.json,251488,data/raw/Cricsheet/International/t20Internationals_official/251488.json,251488,2006-12-26,2006-12-26,1,New Zealand,Sri Lanka,New Zealand | Sri Lanka,Sri Lanka in New Zealand T20I Series,T20,male,Eden Park,Auckland,6,JEC Franklin,New Zealand,,,5.0,,,New Zealand,field
international,official,t20Internationals_official,249227.json,249227,data/raw/Cricsheet/International/t20Internationals_official/249227.json,249227,2007-01-09,2007-01-09,1,Australia,England,Australia | England,,T20,male,Sydney Cricket Ground,,6,CL White,Australia,,77.0,,,,Australia,bat
international,official,t20Internationals_official,258463.json,258463,data/raw/Cricsheet/International/t20Internationals_official/258463.json,258463,2007-06-28,2007-06-28,1,England,West Indies,England | West Indies,West Indies in England T20I Series,T20,male,Kennington Oval,London,6,PD Collingwood,West Indies,,15.0,,,,West Indies,bat
international,official,t20Internationals_official,258464.json,258464,data/raw/Cricsheet/International/t20Internationals_official/258464.json,258464,2007-06-29,2007-06-29,1,England,West Indies,England | West Indies,West Indies in England T20I Series,T20,male,Kennington Oval,London,6,OA Shah,England,,,5.0,,,West Indies,bat
international,official,t20Internationals_official,306987.json,306987,data/raw/Cricsheet/International/t20Internationals_official/306987.json,306987,2007-09-01,2007-09-01,1,Kenya,Bangladesh,Kenya | Bangladesh,Twenty20 Quadrangular (in Kenya),T20,male,Gymkhana Club Ground,Nairobi,6,Nazimuddin,Bangladesh,,,5.0,,,Bangladesh,field
international,official,t20Internationals_official,306989.json,306989,data/raw/Cricsheet/International/t20Internationals_official/306989.json,306989,2007-09-02,2007-09-02,1,Bangladesh,Pakistan,Bangladesh | Pakistan,Twenty20 Quadrangular (in Kenya),T20,male,Gymkhana Club Ground,Nairobi,6,Imran Nazir,Pakistan,,30.0,,,,Bangladesh,field
international,official,t20Internationals_official,306991.json,306991,data/raw/Cricsheet/International/t20Internationals_official/306991.json,306991,2007-09-04,2007-09-04,1,Kenya,Pakistan,Kenya | Pakistan,Twenty20 Quadrangular (in Kenya),T20,male,Gymkhana Club Ground,Nairobi,6,Younis Khan,Pakistan,,,8.0,,,Kenya,bat
international,official,t20Internationals_official,287853.json,287853,data/raw/Cricsheet/International/t20Internationals_official/287853.json,287853,2007-09-11,2007-09-11,1,South Africa,West Indies,South Africa | West Indies,ICC World Twenty20,T20,male,New Wanderers Stadium,Johannesburg,6,CH Gayle,South Africa,,,8.0,,,South Africa,field
international,official,t20Internationals_official,287854.json,287854,data/raw/Cricsheet/International/t20Internationals_official/287854.json,287854,2007-09-12,2007-09-12,1,Kenya,New Zealand,Kenya | New Zealand,ICC World Twenty20,T20,male,Kingsmead,Durban,6,MR Gillespie,New Zealand,,,9.0,,,New Zealand,field
international,official,t20Internationals_official,287855.json,287855,data/raw/Cricsheet/International/t20Internationals_official/287855.json,287855,2007-09-12,2007-09-12,1,Pakistan,Scotland,Pakistan | Scotland,ICC World Twenty20,T20,male,Kingsmead,Durban,6,Shahid Afridi,Pakistan,,51.0,,,,Scotland,field
international,official,t20Internationals_official,287856.json,287856,data/raw/Cricsheet/International/t20Internationals_official/287856.json,287856,2007-09-12,2007-09-12,1,Australia,Zimbabwe,Australia | Zimbabwe,ICC World Twenty20,T20,male,Newlands,Cape Town,6,BRM Taylor,Zimbabwe,,,5.0,,,Australia,bat
international,official,t20Internationals_official,287857.json,287857,data/raw/Cricsheet/International/t20Internationals_official/287857.json,287857,2007-09-13,2007-09-13,1,Bangladesh,West Indies,Bangladesh | West Indies,ICC World Twenty20,T20,male,New Wanderers Stadium,Johannesburg,6,Mohammad Ashraful,Bangladesh,,,6.0,,,Bangladesh,field
international,official,t20Internationals_official,287858.json,287858,data/raw/Cricsheet/International/t20Internationals_official/287858.json,287858,2007-09-13,2007-09-13,1,England,Zimbabwe,England | Zimbabwe,ICC World Twenty20,T20,male,Newlands,Cape Town,6,KP Pietersen,England,,50.0,,,,England,bat
international,official,t20Internationals_official,287860.json,287860,data/raw/Cricsheet/International/t20Internationals_official/287860.json,287860,2007-09-14,2007-09-14,1,Kenya,Sri Lanka,Kenya | Sri Lanka,ICC World Twenty20,T20,male,New Wanderers Stadium,Johannesburg,6,ST Jayasuriya,Sri Lanka,,172.0,,,,Kenya,field
international,official,t20Internationals_official,287861.json,287861,data/raw/Cricsheet/International/t20Internationals_official/287861.json,287861,2007-09-14,2007-09-14,1,Australia,England,Australia | England,ICC World Twenty20,T20,male,Newlands,Cape Town,6,NW Bracken,Australia,,,8.0,,,England,bat
international,official,t20Internationals_official,287862.json,287862,data/raw/Cricsheet/International/t20Internationals_official/287862.json,287862,2007-09-14,2007-09-14,1,India,Pakistan,India | Pakistan,ICC World Twenty20,T20,male,Kingsmead,Durban,6,Mohammad Asif,,tie,,,,,Pakistan,field
international,official,t20Internationals_official,287863.json,287863,data/raw/Cricsheet/International/t20Internationals_official/287863.json,287863,2007-09-15,2007-09-15,1,New Zealand,Sri Lanka,New Zealand | Sri Lanka,ICC World Twenty20,T20,male,New Wanderers Stadium,Johannesburg,6,ST Jayasuriya,Sri Lanka,,,7.0,,,New Zealand,bat
international,official,t20Internationals_official,287864.json,287864,data/raw/Cricsheet/International/t20Internationals_official/287864.json,287864,2007-09-15,2007-09-15,1,South Africa,Bangladesh,South Africa | Bangladesh,ICC World Twenty20,T20,male,Newlands,Cape Town,6,M Morkel,South Africa,,,7.0,,,South Africa,field
international,official,t20Internationals_official,287865.json,287865,data/raw/Cricsheet/International/t20Internationals_official/287865.json,287865,2007-09-16,2007-09-16,1,India,New Zealand,India | New Zealand,ICC World Twenty20,T20,male,New Wanderers Stadium,Johannesburg,6,DL Vettori,New Zealand,,10.0,,,,India,field
international,official,t20Internationals_official,287866.json,287866,data/raw/Cricsheet/International/t20Internationals_official/287866.json,287866,2007-09-16,2007-09-16,1,Australia,Bangladesh,Australia | Bangladesh,ICC World Twenty20,T20,male,Newlands,Cape Town,6,B Lee,Australia,,,9.0,,,Australia,field
international,official,t20Internationals_official,287867.json,287867,data/raw/Cricsheet/International/t20Internationals_official/287867.json,287867,2007-09-16,2007-09-16,1,South Africa,England,South Africa | England,ICC World Twenty20,T20,male,Newlands,Cape Town,6,JA Morkel,South Africa,,19.0,,,,England,field
international,official,t20Internationals_official,287868.json,287868,data/raw/Cricsheet/International/t20Internationals_official/287868.json,287868,2007-09-17,2007-09-17,1,Pakistan,Sri Lanka,Pakistan | Sri Lanka,ICC World Twenty20,T20,male,New Wanderers Stadium,Johannesburg,6,Younis Khan,Pakistan,,33.0,,,,Sri Lanka,field
international,official,t20Internationals_official,287869.json,287869,data/raw/Cricsheet/International/t20Internationals_official/287869.json,287869,2007-09-18,2007-09-18,1,England,New Zealand,England | New Zealand,ICC World Twenty20,T20,male,Kingsmead,Durban,6,CD McMillan,New Zealand,,5.0,,,,England,field
international,official,t20Internationals_official,287870.json,287870,data/raw/Cricsheet/International/t20Internationals_official/287870.json,287870,2007-09-18,2007-09-18,1,Australia,Pakistan,Australia | Pakistan,ICC World Twenty20,T20,male,New Wanderers Stadium,Johannesburg,6,Misbah-ul-Haq,Pakistan,,,6.0,,,Pakistan,field
international,official,t20Internationals_official,287871.json,287871,data/raw/Cricsheet/International/t20Internationals_official/287871.json,287871,2007-09-18,2007-09-18,1,Bangladesh,Sri Lanka,Bangladesh | Sri Lanka,ICC World Twenty20,T20,male,New Wanderers Stadium,Johannesburg,6,CRD Fernando,Sri Lanka,,64.0,,,,Bangladesh,field
international,official,t20Internationals_official,287872.json,287872,data/raw/Cricsheet/International/t20Internationals_official/287872.json,287872,2007-09-19,2007-09-19,1,South Africa,New Zealand,South Africa | New Zealand,ICC World Twenty20,T20,male,Kingsmead,Durban,6,JM Kemp,South Africa,,,6.0,,,South Africa,field
international,official,t20Internationals_official,287873.json,287873,data/raw/Cricsheet/International/t20Internationals_official/287873.json,287873,2007-09-19,2007-09-19,1,England,India,England | India,ICC World Twenty20,T20,male,Kingsmead,Durban,6,Yuvraj Singh,India,,18.0,,,,India,bat
international,official,t20Internationals_official,287874.json,287874,data/raw/Cricsheet/International/t20Internationals_official/287874.json,287874,2007-09-20,2007-09-20,1,Australia,Sri Lanka,Australia | Sri Lanka,ICC World Twenty20,T20,male,Newlands,Cape Town,6,SR Clark,Australia,,,10.0,,,Australia,field
international,official,t20Internationals_official,287875.json,287875,data/raw/Cricsheet/International/t20Internationals_official/287875.json,287875,2007-09-20,2007-09-20,1,Bangladesh,Pakistan,Bangladesh | Pakistan,ICC World Twenty20,T20,male,Newlands,Cape Town,6,Junaid Siddique,Pakistan,,,4.0,,,Pakistan,field
international,official,t20Internationals_official,287876.json,287876,data/raw/Cricsheet/International/t20Internationals_official/287876.json,287876,2007-09-20,2007-09-20,1,South Africa,India,South Africa | India,ICC World Twenty20,T20,male,Kingsmead,Durban,6,RG Sharma,India,,37.0,,,,India,bat
international,official,t20Internationals_official,287877.json,287877,data/raw/Cricsheet/International/t20Internationals_official/287877.json,287877,2007-09-22,2007-09-22,1,New Zealand,Pakistan,New Zealand | Pakistan,ICC World Twenty20,T20,male,Newlands,Cape Town,6,Umar Gul,Pakistan,,,6.0,,,New Zealand,bat
international,official,t20Internationals_official,287878.json,287878,data/raw/Cricsheet/International/t20Internationals_official/287878.json,287878,2007-09-22,2007-09-22,1,Australia,India,Australia | India,ICC World Twenty20,T20,male,Kingsmead,Durban,6,Yuvraj Singh,India,,15.0,,,,India,bat
international,official,t20Internationals_official,287879.json,287879,data/raw/Cricsheet/International/t20Internationals_official/287879.json,287879,2007-09-24,2007-09-24,1,India,Pakistan,India | Pakistan,ICC World Twenty20,T20,male,New Wanderers Stadium,Johannesburg,6,IK Pathan,India,,5.0,,,,India,bat
international,official,t20Internationals_official,297800.json,297800,data/raw/Cricsheet/International/t20Internationals_official/297800.json,297800,2007-10-20,2007-10-20,1,India,Australia,India | Australia,,T20,male,Brabourne Stadium,Mumbai,6,G Gambhir,India,,,7.0,,,Australia,bat
international,official,t20Internationals_official,298795.json,298795,data/raw/Cricsheet/International/t20Internationals_official/298795.json,298795,2007-11-23,2007-11-23,1,South Africa,New Zealand,South Africa | New Zealand,,T20,male,New Wanderers Stadium,Johannesburg,6,AB de Villiers,South Africa,,,3.0,,,South Africa,field
international,official,t20Internationals_official,291343.json,291343,data/raw/Cricsheet/International/t20Internationals_official/291343.json,291343,2007-12-11,2007-12-11,1,Australia,New Zealand,Australia | New Zealand,,T20,male,Western Australia Cricket Association Ground,Perth,6,A Symonds,Australia,,54.0,,,,Australia,bat
international,official,t20Internationals_official,319112.json,319112,data/raw/Cricsheet/International/t20Internationals_official/319112.json,319112,2007-12-16,2007-12-16,1,South Africa,West Indies,South Africa | West Indies,West Indies in South Africa T20I Series,T20,male,St George's Park,Port Elizabeth,6,JE Taylor,West Indies,,,5.0,,,West Indies,field
international,official,t20Internationals_official,298804.json,298804,data/raw/Cricsheet/International/t20Internationals_official/298804.json,298804,2008-01-18,2008-01-18,1,South Africa,West Indies,South Africa | West Indies,West Indies in South Africa T20I Series,T20,male,New Wanderers Stadium,Johannesburg,6,SM Pollock,South Africa,,,4.0,,,South Africa,field
international,official,t20Internationals_official,291356.json,291356,data/raw/Cricsheet/International/t20Internationals_official/291356.json,291356,2008-02-01,2008-02-01,1,Australia,India,Australia | India,,T20,male,Melbourne Cricket Ground,,6,MJ Clarke,Australia,,,9.0,,,India,bat
international,official,t20Internationals_official,300435.json,300435,data/raw/Cricsheet/International/t20Internationals_official/300435.json,300435,2008-02-05,2008-02-05,1,New Zealand,England,New Zealand | England,England in New Zealand T20I Series,T20,male,Eden Park,Auckland,6,AD Mascarenhas,England,,32.0,,,,New Zealand,field
international,official,t20Internationals_official,300436.json,300436,data/raw/Cricsheet/International/t20Internationals_official/300436.json,300436,2008-02-07,2008-02-07,1,New Zealand,England,New Zealand | England,England in New Zealand T20I Series,T20,male,Jade Stadium,Christchurch,6,PD Collingwood,England,,50.0,,,,England,bat
league,league,indian_premier_league,335982.json,335982,data/raw/Cricsheet/Leagues/indian_premier_league/335982.json,335982,2008-04-18,2008-04-18,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore | Kolkata Knight Riders,Indian Premier League,T20,male,M Chinnaswamy Stadium,Bangalore,6,BB McCullum,Kolkata Knight Riders,,140.0,,,,Royal Challengers Bangalore,field
league,league,indian_premier_league,335983.json,335983,data/raw/Cricsheet/Leagues/indian_premier_league/335983.json,335983,2008-04-19,2008-04-19,1,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab | Chennai Super Kings,Indian Premier League,T20,male,"Punjab Cricket Association Stadium, Mohali",Chandigarh,6,MEK Hussey,Chennai Super Kings,,33.0,,,,Chennai Super Kings,bat
league,league,indian_premier_league,335984.json,335984,data/raw/Cricsheet/Leagues/indian_premier_league/335984.json,335984,2008-04-19,2008-04-19,1,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils | Rajasthan Royals,Indian Premier League,T20,male,Feroz Shah Kotla,Delhi,6,MF Maharoof,Delhi Daredevils,,,9.0,,,Rajasthan Royals,bat
international,official,t20Internationals_official,343764.json,343764,data/raw/Cricsheet/International/t20Internationals_official/343764.json,343764,2008-04-20,2008-04-20,1,Pakistan,Bangladesh,Pakistan | Bangladesh,,T20,male,National Stadium,Karachi,6,Misbah-ul-Haq,Pakistan,,102.0,,,,Pakistan,bat
league,league,indian_premier_league,335985.json,335985,data/raw/Cricsheet/Leagues/indian_premier_league/335985.json,335985,2008-04-20,2008-04-20,1,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians | Royal Challengers Bangalore,Indian Premier League,T20,male,Wankhede Stadium,Mumbai,6,MV Boucher,Royal Challengers Bangalore,,,5.0,,,Mumbai Indians,bat
league,league,indian_premier_league,335986.json,335986,data/raw/Cricsheet/Leagues/indian_premier_league/335986.json,335986,2008-04-20,2008-04-20,1,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders | Deccan Chargers,Indian Premier League,T20,male,Eden Gardens,Kolkata,6,DJ Hussey,Kolkata Knight Riders,,,5.0,,,Deccan Chargers,bat
league,league,indian_premier_league,335987.json,335987,data/raw/Cricsheet/Leagues/indian_premier_league/335987.json,335987,2008-04-21,2008-04-21,1,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals | Kings XI Punjab,Indian Premier League,T20,male,Sawai Mansingh Stadium,Jaipur,6,SR Watson,Rajasthan Royals,,,6.0,,,Kings XI Punjab,bat
