player_name,cricsheet_id,cricinfo_id,unique_name,match_method,resolved,balls_bowled,is_bowler,wikidata_item,enwiki_title,enwiki_rev_id,enwiki_rev_timestamp,batting_style,bowling_style,playing_role,infobox_template,player_name_norm,cricsheet_id_norm
Rizwan Butt,e741ed8f,1344829.0,Rizwan Butt,unique_name,True,1849,True,,,,,,,,,rizwan butt,e741ed8f
Pavandeep Singh,78fcc740,633641.0,Pavandeep Singh,unique_name,True,1847,True,http://www.wikidata.org/entity/Q18387202,Pavandeep Singh,1313604706.0,2025-09-27T04:14:32Z,Right-handed,Slow left-arm orthodox,,Infobox cricketer,pavandeep singh,78fcc740
H Ssenyondo,2b7609f1,420490.0,H Ssenyondo,unique_name,True,1635,True,http://www.wikidata.org/entity/Q18349169,Henry Ssenyondo,1263917600.0,2024-12-19T11:05:12Z,,,,,h ssenyondo,2b7609f1
BM Scholtz,e85d03d6,330223.0,BM Scholtz,unique_name,True,1612,True,http://www.wikidata.org/entity/Q4893629,Bernard Scholtz,1336176049.0,2026-02-02T08:55:08Z,Right-handed,Slow left-arm orthodox,,Infobox cricketer,bm scholtz,e85d03d6
S Lamichhane,b410bd3d,960361.0,S Lamichhane,unique_name,True,1603,True,http://www.wikidata.org/entity/Q23884700,Sandeep Lamichhane,1338827128.0,2026-02-17T13:29:38Z,Right-handed,Leg break,,Infobox cricketer,s lamichhane,b410bd3d
Z Bimenyimana,ba57fb08,1151261.0,Z Bimenyimana,unique_name,True,1586,True,,,,,,,,,z bimenyimana,ba57fb08
Imran Anwar,a9a18e3e,1143529.0,Imran Anwar,unique_name,True,1574,True,,,,,,,,,imran anwar,a9a18e3e
DJ Hawoe,a62f55ba,1167318.0,DJ Hawoe,unique_name,True,1538,True,,,,,,,,,dj hawoe,a62f55ba
F Banunaek,3c8faed4,1167320.0,F Banunaek,unique_name,True,1515,True,,,,,,,,,f banunaek,3c8faed4
Ali Dawood,596982e6,593296.0,Ali Dawood,unique_name,True,1498,True,,,,,,,,,ali dawood,596982e6
Virandeep Singh,415d30b6,633660.0,Virandeep Singh,unique_name,True,1498,True,http://www.wikidata.org/entity/Q30021342,Virandeep Singh,1335089683.0,2026-01-27T07:32:04Z,Right-handed,Slow left-arm orthodox,,Infobox cricketer,virandeep singh,415d30b6
Abdul Majid Abbasi,0cfb42b5,1361960.0,Abdul Majid Abbasi,unique_name,True,1473,True,,,,,,,,,abdul majid abbasi,0cfb42b5
