player_name,player_name_norm,cricsheet_id_norm,matched_by_id,matched_by_name,is_matched
A Adey,a adey,,False,False,False
A Aravinddaraj,a aravinddaraj,,False,False,False
A Ashish Reddy,a ashish reddy,,False,False,False
A Ayre,a ayre,,False,False,False
A Badoni,a badoni,,False,False,False
A Bharwad,a bharwad,,False,False,False
A Bonora,a bonora,,False,False,False
A Bramble,a bramble,,False,False,False
A Carter,a carter,,False,False,False
A Cawley,a cawley,,False,False,False
A Chandila,a chandila,,False,False,False
A Chanula,a chanula,,False,False,False
A Chopra,a chopra,,False,False,False
A Choudhary,a choudhary,,False,False,False
A Cloete,a cloete,,False,False,False
A Daniel,a daniel,,False,False,False
A Dennison,a dennison,,False,False,False
A Dulara,a dulara,,False,False,False
A Fernando,a fernando,,False,False,False
A G Pradeep,a g pradeep,,False,False,False
A Gharti,a gharti,,False,False,False
A Ghiraiya,a ghiraiya,,False,False,False
A Goenka,a goenka,,False,False,False
A Gordon,a gordon,,False,False,False
A Gqamane,a gqamane,,False,False,False
A Haggan,a haggan,,False,False,False
A Hepburn,a hepburn,,False,False,False
A Heywood,a heywood,,False,False,False
A Jacobs,a jacobs,,False,False,False
A Javid,a javid,,False,False,False
A Kamboj,a kamboj,,False,False,False
A Kapil,a kapil,,False,False,False
A Karvelas,a karvelas,,False,False,False
A Kennedy,a kennedy,,False,False,False
A Kharel,a kharel,,False,False,False
A Koul,a koul,,False,False,False
A Kumble,a kumble,,False,False,False
A Leckey,a leckey,,False,False,False
A Lyth,a lyth,,False,False,False
A Mahata,a mahata,,False,False,False
A Makesh,a makesh,,False,False,False
A Manohar,a manohar,,False,False,False
A McDaid,a mcdaid,,False,False,False
A Mehdi,a mehdi,,False,False,False
A Mgijima,a mgijima,,False,False,False
A Mhatre,a mhatre,,False,False,False
A Mhletywa,a mhletywa,,False,False,False
A Mithun,a mithun,,False,False,False
A Mnyaka,a mnyaka,,False,False,False
A Mokgakane,a mokgakane,,False,False,False
A Mpeka,a mpeka,,False,False,False
A Mukund,a mukund,,False,False,False
A Muthalib,a muthalib,,False,False,False
A Myoli,a myoli,,False,False,False
A Nagwaswalla,a nagwaswalla,,False,False,False
A Nicholas,a nicholas,,False,False,False
A Palkar,a palkar,,False,False,False
A Panwar,a panwar,,False,False,False
A Peters,a peters,,False,False,False
A Phillip,a phillip,,False,False,False
A Prateek Reddy,a prateek reddy,,False,False,False
A Pratyush Kumar,a pratyush kumar,,False,False,False
A Premaratne,a premaratne,,False,False,False
A Raghuvanshi,a raghuvanshi,,False,False,False
A Rosslee,a rosslee,,False,False,False
A Sanford,a sanford,,False,False,False
A Sheikh,a sheikh,,False,False,False
A Sheridan,a sheridan,,False,False,False
A Sheth,a sheth,,False,False,False
A Shrestha,a shrestha,,False,False,False
A Sidhu,a sidhu,,False,False,False
A Singh,a singh,,False,False,False
A Singhania,a singhania,,False,False,False
A Siriwardhana,a siriwardhana,,False,False,False
A Thapa,a thapa,,False,False,False
A Thennakoon,a thennakoon,,False,False,False
A Thyagarajan,a thyagarajan,,False,False,False
A Tissera,a tissera,,False,False,False
A Tomar,a tomar,,False,False,False
A Ueda,a ueda,,False,False,False
A Uniyal,a uniyal,,False,False,False
A van den Berg,a van den berg,,False,False,False
A Verma,a verma,,False,False,False
A Wickramasinghe,a wickramasinghe,,False,False,False
A Wijewardhana,a wijewardhana,,False,False,False
A Yadav,a yadav,,False,False,False
A Ziraba,a ziraba,,False,False,False
AA Bamal,aa bamal,,False,False,False
AA Barot,aa barot,,False,False,False
AA Bilakhia,aa bilakhia,,False,False,False
AA Chakraborty,aa chakraborty,,False,False,False
AA Chavan,aa chavan,,False,False,False
AA Choudhury,aa choudhury,,False,False,False
AA Herwadkar,aa herwadkar,,False,False,False
AA Inham,aa inham,,False,False,False
AA Jhunjhunwala,aa jhunjhunwala,,False,False,False
AA Jones,aa jones,,False,False,False
AA Kargave,aa kargave,,False,False,False
AA Kazi,aa kazi,,False,False,False
AA Kulkarni,aa kulkarni,,False,False,False
AA Pragasam,aa pragasam,,False,False,False
AA Premji,aa premji,,False,False,False
AA Rao,aa rao,,False,False,False
AA Sanklecha,aa sanklecha,,False,False,False
AA Sarwate,aa sarwate,,False,False,False
AAA Amsterdam,aaa amsterdam,,False,False,False
Aakarshit Gomel,aakarshit gomel,,False,False,False
Aakash Verma,aakash verma,,False,False,False
Aamer Azmat,aamer azmat,,False,False,False
Aamir Aziz,aamir aziz,,False,False,False
Aamir Gani,aamir gani,,False,False,False
Aamir Javed,aamir javed,,False,False,False
Aanshul Gupta,aanshul gupta,,False,False,False
Aaqib Khan,aaqib khan,,False,False,False
Aaron Beard,aaron beard,,False,False,False
Aarya Desai,aarya desai,,False,False,False
AAS Silva,aas silva,,False,False,False
AB Bhadoriya,ab bhadoriya,,False,False,False
AB Fudadin,ab fudadin,,False,False,False
AB McDonald,ab mcdonald,,False,False,False
ABB Sangma,abb sangma,,False,False,False
Abbas Saad,abbas saad,,False,False,False
Abdalah Lubega,abdalah lubega,,False,False,False
Abdul Bangalzai,abdul bangalzai,,False,False,False
Abdul Basith,abdul basith,,False,False,False
Abdul Gaffar Saqlain,abdul gaffar saqlain,,False,False,False
Abdul Hakam,abdul hakam,,False,False,False
Abdul Manan,abdul manan,,False,False,False
Abdul Mazid,abdul mazid,,False,False,False
Abdul Nasir,abdul nasir,,False,False,False
Abdul Rashid Karim,abdul rashid karim,,False,False,False
Abdul Sadiq,abdul sadiq,,False,False,False
Abdullah Al Mamun,abdullah al mamun,,False,False,False
Abdullah Bayoumy,abdullah bayoumy,,False,False,False
Abdullah Fazal,abdullah fazal,,False,False,False
Abdulrahman Dashti,abdulrahman dashti,,False,False,False
Abhay,abhay,,False,False,False
Abhay Negi,abhay negi,,False,False,False
Abhijeet Saket,abhijeet saket,,False,False,False
Abhijit Roy,abhijit roy,,False,False,False
Abhilash Gogoi,abhilash gogoi,,False,False,False
Abhilash Mallick,abhilash mallick,,False,False,False
Abhimanyu Chauhan,abhimanyu chauhan,,False,False,False
Abhimanyu Rana,abhimanyu rana,,False,False,False
Abhinandan Singh,abhinandan singh,,False,False,False
Abhinav Dixit,abhinav dixit,,False,False,False
Abhinav Raman,abhinav raman,,False,False,False
Abhinav Srivastava,abhinav srivastava,,False,False,False
Abhiraj Singh,abhiraj singh,,False,False,False
Abhisek Das,abhisek das,,False,False,False
Abhisekh Tiwari,abhisekh tiwari,,False,False,False
Abhishek Bhandari,abhishek bhandari,,False,False,False
Abhishek Goswami,abhishek goswami,,False,False,False
Abhishek Gupta,abhishek gupta,,False,False,False
Abhishek Mohan,abhishek mohan,,False,False,False
Abhishek Pandey,abhishek pandey,,False,False,False
Abhishek Raman,abhishek raman,,False,False,False
Abhishek Sakuja,abhishek sakuja,,False,False,False
Abhishek Tanwar,abhishek tanwar,,False,False,False
Abhishek Thakuri,abhishek thakuri,,False,False,False
Abhishek Yadav,abhishek yadav,,False,False,False
Abhishesh Gautam,abhishesh gautam,,False,False,False
Abid Mushtaq,abid mushtaq,,False,False,False
Abidullah Taniwal,abidullah taniwal,,False,False,False
Abishek Porel,abishek porel,,False,False,False
Abraar Khan,abraar khan,,False,False,False
Abu Hasim,abu hasim,,False,False,False
AC Blizzard,ac blizzard,,False,False,False
AC Frame,ac frame,,False,False,False
AC Lenham,ac lenham,,False,False,False
AC McDermott,ac mcdermott,,False,False,False
AC Thomas,ac thomas,,False,False,False
ACF Wyatt,acf wyatt,,False,False,False
Achit Shigwan,achit shigwan,,False,False,False
ACR Birch,acr birch,,False,False,False
AD Chopra,ad chopra,,False,False,False
AD Conwana,ad conwana,,False,False,False
AD Kamania,ad kamania,,False,False,False
AD Nath,ad nath,,False,False,False
AD Thomason,ad thomason,,False,False,False
Adeel Malik,adeel malik,,False,False,False
Adhitya Shetty,adhitya shetty,,False,False,False
Adil Afzal,adil afzal,,False,False,False
Adil Amin,adil amin,,False,False,False
Adil Bhatti,adil bhatti,,False,False,False
Adil Reshi,adil reshi,,False,False,False
Adithya Ganesh,adithya ganesh,,False,False,False
Aditya,aditya,,False,False,False
Aditya Garhwal,aditya garhwal,,False,False,False
Aditya Jadeja,aditya jadeja,,False,False,False
Aditya Kaushik,aditya kaushik,,False,False,False
Aditya Rout,aditya rout,,False,False,False
Aditya Singh,aditya singh,,False,False,False
Aditya Waghmode,aditya waghmode,,False,False,False
Adnan Liaquat,adnan liaquat,,False,False,False
Adnan Rasool,adnan rasool,,False,False,False
AEN Riley,aen riley,,False,False,False
Afaq Ahmed,afaq ahmed,,False,False,False
Aftab Ahmed (2),aftab ahmed (2),,False,False,False
Aftab Alam,aftab alam,,False,False,False
Aftab Ibrahim,aftab ibrahim,,False,False,False
Afzal Faiz,afzal faiz,,False,False,False
Afzal Saleem,afzal saleem,,False,False,False
Afzal Virk,afzal virk,,False,False,False
AG Dugmore,ag dugmore,,False,False,False
AG Harriott,ag harriott,,False,False,False
AG Jungade,ag jungade,,False,False,False
AG Murtaza,ag murtaza,,False,False,False
AG Paunikar,ag paunikar,,False,False,False
AG Puttick,ag puttick,,False,False,False
AG Rao,ag rao,,False,False,False
