player_name,cricsheet_id,cricinfo_id,playing_role,batting_style,bowling_style
A Adey,dd2ed408,,,,
A Ahmadhel,55a5cffb,1203910.0,,,
A Alexander,ef6d6883,1451258.0,,,
A Amado,14ea3348,1321182.0,,,
A Andrews,1d45c01a,1135751.0,,,
A Aravinddaraj,21d38d47,,,,
A Ashish Reddy,1c2a64cd,,,,
A Ashok,321be7e3,1193546.0,Bowler,Right-handed,Right-arm leg-break and googly
A Ashokan,9244df4b,1156472.0,,,
A Athanaze,58c2fac4,1078692.0,Middle-order batter,Left-handed,Right-arm off break
A Augastin,056e3558,1492934.0,,,
A Awasthi,fa62a463,1403178.0,,,
A Ayre,a09eb585,,,,
A Badoni,872b03f7,,,,
A Bagai,112959b2,23797.0,"Wicketkeeper, batsman",Right-handed,
A Balbirnie,6ef13460,303423.0,Batsman,Right-handed,Right-arm off break
A Beresford-Peirse,4e7d882f,1497610.0,,,
A Bhadauria,a74bbdad,1263722.0,,,
A Bhagwat,906ef9e5,1134974.0,Wicket keeper,Right-handed,
A Bhargava,192f2caf,1329941.0,,,
A Bharwad,3cc96a05,,,,
A Bhattarai,2c2013a9,233409.0,Bowler,Right-handed,Left-arm medium-fast
A Bishnoi,376557f7,1268920.0,,,
A Bohara,64fb6b15,1058508.0,Bowler,Right-handed,Right-arm medium
A Bonora,71c1f483,,,,
A Bramble,eca0c288,,,,
A Bulow,16f4cc7e,417263.0,,,
A Bushell,2d645c00,526120.0,,,
A Busing-Volschenk,e9e37173,1234278.0,,,
A Carter,6fe2c1c0,,,,
A Cawley,ed282cc2,,,,
A Chandila,99b202b3,,,,
A Chanula,9af2961f,,,,
A Chaubey,c577d7d4,1445726.0,,,
A Chaudhary,465fd722,1329997.0,,,
A Chenthamara,e7e14ecc,1480306.0,,,
A Chopra,e249fdaa,,,,
A Choudhary,18e6906e,,,,
A Cloete,45a6cf8a,,,,
A Conteh,97b9cb64,346649.0,,,
A Curavic,8b3cf264,1514454.0,,,
A Dananjaya,5b16a806,574178.0,Bowling All-rounder,Left-handed,Right-arm off break<br />Right-arm leg break
A Daniel,9e3f1cc4,,,,
A Davidson Soler,524943f1,1445612.0,,,
A Daxini,2f949d55,1382802.0,,,
A Dennison,72b95896,,,,
A Denuwan,96912eac,1343338.0,,,
A Desai,9c1b1f4b,1441681.0,,,
A Dhabe,5a0dbdeb,1489796.0,,,
A Dhar,1c0a2249,1489664.0,,,
A Dhingra,753ada66,1275733.0,,,
A Dizija,6483c062,1321221.0,,,
A Djorovic,677c18f9,1203881.0,,,
A Donovan,02888f23,1451387.0,,,
A Dowling,ec064d97,1447949.0,,,
A Dulara,96cd12eb,,,,
A Dutt,803dbf1d,1195672.0,Bowler,Right-handed,Right-arm off-break
A Faletar,b8889eb7,1382804.0,,,
A Ferguson,4a8d1b14,23583.0,Wicket-keeper,Right-handed,Right-arm medium
A Fernando,e01b2815,,,,
A Flintoff,ddc0828d,12856.0,All-rounder,Right-handed,Right-arm fast-medium
A G Pradeep,d5eed764,,,,
A Gasteratos,e87c009a,1323409.0,,,
A Gavde,c725d464,1197883.0,,,
A Gbla,34ab1e6e,516372.0,,,
A Gharti,0b62d391,,,,
A Ghiraiya,878b1e06,,,,
A Goenka,c53500ba,,,,
A Gorawara,c6b11959,1068980.0,Batsman,Right-handed,
A Gordon,898b09e8,,,,
