player_name,player_name_norm,cricsheet_id_norm,reason
A Adey,a adey,,missing_entirely
A Ahmadhel,a ahmadhel,55a5cffb,incomplete_fields
A Alexander,a alexander,ef6d6883,incomplete_fields
A Amado,a amado,14ea3348,incomplete_fields
A Andrews,a andrews,1d45c01a,incomplete_fields
A Aravinddaraj,a aravinddaraj,,missing_entirely
A Ashish Reddy,a ashish reddy,,missing_entirely
A Ashokan,a ashokan,9244df4b,incomplete_fields
A Augastin,a augastin,056e3558,incomplete_fields
A Awasthi,a awasthi,fa62a463,incomplete_fields
A Ayre,a ayre,,missing_entirely
A Badoni,a badoni,,missing_entirely
A Beresford-Peirse,a beresford-peirse,4e7d882f,incomplete_fields
A Bhadauria,a bhadauria,a74bbdad,incomplete_fields
A Bhargava,a bhargava,192f2caf,incomplete_fields
A Bharwad,a bharwad,,missing_entirely
A Bishnoi,a bishnoi,376557f7,incomplete_fields
A Bonora,a bonora,,missing_entirely
A Bramble,a bramble,,missing_entirely
A Bulow,a bulow,16f4cc7e,incomplete_fields
A Bushell,a bushell,2d645c00,incomplete_fields
A Busing-Volschenk,a busing-volschenk,e9e37173,incomplete_fields
A Carter,a carter,,missing_entirely
A Cawley,a cawley,,missing_entirely
A Chandila,a chandila,,missing_entirely
A Chanula,a chanula,,missing_entirely
A Chaubey,a chaubey,c577d7d4,incomplete_fields
A Chaudhary,a chaudhary,465fd722,incomplete_fields
A Chenthamara,a chenthamara,e7e14ecc,incomplete_fields
A Chopra,a chopra,,missing_entirely
A Choudhary,a choudhary,,missing_entirely
A Cloete,a cloete,,missing_entirely
A Conteh,a conteh,97b9cb64,incomplete_fields
A Curavic,a curavic,8b3cf264,incomplete_fields
A Daniel,a daniel,,missing_entirely
A Davidson Soler,a davidson soler,524943f1,incomplete_fields
A Daxini,a daxini,2f949d55,incomplete_fields
A Dennison,a dennison,,missing_entirely
A Denuwan,a denuwan,96912eac,incomplete_fields
A Desai,a desai,9c1b1f4b,incomplete_fields
A Dhabe,a dhabe,5a0dbdeb,incomplete_fields
A Dhar,a dhar,1c0a2249,incomplete_fields
A Dhingra,a dhingra,753ada66,incomplete_fields
A Dizija,a dizija,6483c062,incomplete_fields
A Djorovic,a djorovic,677c18f9,incomplete_fields
A Donovan,a donovan,02888f23,incomplete_fields
A Dowling,a dowling,ec064d97,incomplete_fields
A Dulara,a dulara,,missing_entirely
A Faletar,a faletar,b8889eb7,incomplete_fields
A Fernando,a fernando,,missing_entirely
A G Pradeep,a g pradeep,,missing_entirely
A Gasteratos,a gasteratos,e87c009a,incomplete_fields
A Gavde,a gavde,c725d464,incomplete_fields
A Gbla,a gbla,34ab1e6e,incomplete_fields
A Gharti,a gharti,,missing_entirely
A Ghiraiya,a ghiraiya,,missing_entirely
A Goenka,a goenka,,missing_entirely
A Gordon,a gordon,,missing_entirely
A Govorko,a govorko,a6e4e6f9,incomplete_fields
A Gqamane,a gqamane,,missing_entirely
A Gulati,a gulati,82903f3a,incomplete_fields
A Gupta,a gupta,59e1abef,incomplete_fields
A Haggan,a haggan,,missing_entirely
A Halbhavi,a halbhavi,df1b4c8f,incomplete_fields
A Harris,a harris,bbafa5d6,incomplete_fields
A Hepburn,a hepburn,,missing_entirely
A Heywood,a heywood,,missing_entirely
A Husain,a husain,034d3c52,incomplete_fields
A Ilaoa,a ilaoa,4d733a54,incomplete_fields
A Jacobs,a jacobs,,missing_entirely
A Javid,a javid,,missing_entirely
A Johnmary,a johnmary,e64c35df,incomplete_fields
A Kadowaki Fleming,a kadowaki fleming,0abf3da7,incomplete_fields
A Kainessie,a kainessie,c7acf05f,incomplete_fields
A Kalasi,a kalasi,8930a2a6,incomplete_fields
A Kamboj,a kamboj,,missing_entirely
A Kansonkho,a kansonkho,5f77f4ec,incomplete_fields
A Kapil,a kapil,,missing_entirely
A Kapoor,a kapoor,2835af2a,incomplete_fields
A Karvelas,a karvelas,,missing_entirely
A Kaul,a kaul,53d0b0dc,incomplete_fields
A Kennedy,a kennedy,,missing_entirely
A Kharel,a kharel,,missing_entirely
A Kheterpal,a kheterpal,2deb4082,incomplete_fields
A Kirschbaum,a kirschbaum,d953bf92,incomplete_fields
A Koul,a koul,,missing_entirely
A Kumble,a kumble,,missing_entirely
A Kuthalingham,a kuthalingham,fd4809c8,incomplete_fields
A Langham,a langham,fe0b3bdf,incomplete_fields
A Lazic,a lazic,b9b65f93,incomplete_fields
A Leckey,a leckey,,missing_entirely
A Limdawala,a limdawala,2bcbcac3,incomplete_fields
A Lyth,a lyth,,missing_entirely
